complication_id,system_id,part_id,severity_level,name,weight,normal_medicine_bonus,appearance_indicator,patient_statement_clear,patient_statement_vague,exam_method,exam_result_positive,exam_result_negative,recheck_hint_mild,recheck_hint_moderate,recheck_hint_severe,treatment_plan,requires_surgery
5060004,50,5006,1,中度腓肠肌源石病性撕裂伤,0.5,0.65,小腿后侧局部可见肿胀或片状瘀斑，踵离地时明显疼痛，步态轻度跛行,不久前跑步或急停时小腿后方突然像被踢了一脚一样疼，从那之后踮脚和快走都会牵扯痛，尤其是下坡时更明显,总说“小腿被后面踹了一脚之后就一直没缓过来”，有时说从膝后到跟腱一整条都在拉扯,腓肠肌 MRI,腓肠肌内可见局灶条索状高信号撕裂灶，周围少量积液与散在源石结晶点，肌腱连续性尚在,肌肉信号均匀，未见撕裂线或明显水肿，也无结晶样异常影,本次 MRI 未能直接证实本次腓肠肌源石病性撕裂伤，但仅示轻度挫伤信号，提示同部位仍有其他轻症级别损伤,本次 MRI 未能直接证实本次腓肠肌源石病性撕裂伤，却发现邻近肌群已有中度组织撕裂，提示同部位合并中症级别损害,本次 MRI 未能直接证实本次腓肠肌源石病性撕裂伤，却提示小腿肌群大范围断裂和血肿，说明同部位已合并重症级别结构破坏,弹性绷带加压包扎 + 短期制动并抬高患肢 + 口服镇痛与感染抑制剂 22 号 + 之后逐步康复训练,0
5060005,50,5006,1,中度腓肠肌源石病性静脉回流受阻,0.5,0.7,患侧小腿略粗于健侧，皮肤色泽略暗，浅静脉略曲张，久站后更明显,这段时间一到下午小腿就会肿起来，感觉鞋子越穿越紧，偶尔有胀痛和发热感，抬高腿一会儿会好一些,总说“整条小腿像被水灌满了”，有时候又觉得是脚踝最胀，有时候又说是膝窝那边更堵,下肢静脉超声 + 多普勒,腓肠肌内静脉及伴行静脉可见管壁上不规则源石结晶附着，局部回流速度减慢但未见完全栓塞,静脉管径与血流速度正常，管壁光滑，无异常回声或血栓形成,当前检查未能直接证实本次腓肠肌源石病性静脉回流受阻，但仍发现轻度瓣膜返流，提示同部位存在其他轻症级别静脉功能异常,当前检查未能直接证实本次腓肠肌源石病性静脉回流受阻，却发现多条静脉中度狭窄与血栓，提示同部位合并中症级别静脉病变,当前检查未能直接证实本次腓肠肌源石病性静脉回流受阻，却提示主静脉干严重狭窄或闭塞，说明同部位已合并重症级别栓塞风险,弹力袜治疗 + 适度步行与抬高下肢 + 口服改善静脉回流药物与感染抑制剂 22 号,0
5060006,50,5006,2,重度腓肠肌源石病性筋膜室综合征,1.0,1.1,患侧小腿明显肿胀紧绷，皮肤发亮发紧，轻触即剧痛，被动背屈足部时疼痛明显加重,现在小腿后面整块都在炸裂般疼痛，连轻轻碰一下都无法忍受，脚趾开始发麻发凉，完全不敢动，感觉整条腿快要坏死,只会紧紧抓住小腿说“这条腿要爆开了”，从小腿到脚一整片又麻又疼，说不出哪里更严重,筋膜室压测 + 多普勒血流评估,腓肠肌筋膜室压力显著升高远超安全阈值，室内可见大片源石结晶与肿胀肌肉占位，远端动静脉血流速度明显下降,筋膜室压力正常，肌肉形态与血流速度均在生理范围，未见异常结晶占位或灌注不足,本次检查未能直接证实本次腓肠肌源石病性筋膜室综合征，但仍可见轻度压力波动，提示同部位存在其他轻症级别筋膜问题,本次检查未能直接证实本次腓肠肌源石病性筋膜室综合征，却发现活动后压力中度升高及供血受限，提示同部位合并中症级别室压异常,本次检查未能直接证实本次腓肠肌源石病性筋膜室综合征，却提示筋膜室压持续重度升高并远端血流几乎中断，说明同部位已合并重症级别缺血坏死风险需立刻处理,急诊筋膜切开减压清除源石结晶与坏死组织 + 必要时血管探查与修补 + 术前后高剂量感染抑制剂 23 号与强化镇痛和抗栓治疗,1
6060011,60,6001,0,轻度肾皮质源石结晶浸润,0.35,0.3,腰背外观正常，无叩击痛，步态平稳,这段时间右后腰总是隐隐发酸，像是搬重物后那种钝胀感，休息一会儿会好一点，没有明显刺痛，就是容易觉得腰累,就觉得整圈腰都酸酸涨涨的，分不清是累着了还是吹风受凉了，睡一觉起来也说不清是哪一块更痛,静脉肾功能筛查 + 尿常规,血肌酐和尿素氮略高，尿微量蛋白阳性，提示双侧肾皮质早期滤过受损并伴轻度结晶刺激反应,肾功能各指标在参考范围内，尿常规未见蛋白及管型，符合肾皮质滤过与重吸收功能正常,本次筛查未能直接证实本次轻度结晶浸润，但可见肾小球滤过率轻微下降，提示同一部位仍存在其他轻症级别的肾皮质功能减退,本次筛查未能直接证实本次轻度结晶浸润，却发现肾小球滤过率中度下降并伴代谢产物堆积，提示同一部位合并中症级别的其他肾皮质病变,本次筛查未能直接证实本次轻度结晶浸润，却提示肾功能指标已重度恶化接近透析指征，说明同一部位可能合并重症级别的肾衰竭性病变,门诊水化治疗 + 低蛋白饮食调整 + 口服肾保护药物 21 号,0
6060012,60,6001,0,轻度肾皮质灌注不均,0.35,0.3,外观无可见异常，皮肤颜色与下肢水肿均正常,最近总觉得两侧腰窝有点紧绷，走路多一点就有轻微坠胀感，但并不会被痛醒，只是久站久坐后更明显,常说整条后腰到屁股都不舒服，像被板子勒住一样，说不清是在皮肤还是在里面酸,多普勒肾血流超声,肾皮质血流速度轻度减慢，部分区域灌注稍欠，提示早期功能受限伴轻度结晶压迫,肾血流动力学参数正常，皮质灌注均匀，未见血管受压或血流受阻表现,本次超声未能直接确认本次灌注不均，但发现皮质局灶性轻度回声增粗，提示该部位存在其他轻症级别的结构性病变,本次超声未能直接确认本次灌注不均，却提示皮质多发中度回声异常及血流迂曲，说明该部位合并中症级别的其他压迫或炎性病灶,本次超声未能直接确认本次灌注不均，却提示皮质大范围血流中断和回声紊乱，提示同部位已存在重症级别的广泛破坏性病变,门诊血流改善药物 + 适度运动康复指导,0
6060013,60,6001,0,早期肾皮质功能代偿性亢进,0.3,0.25,体表难以肉眼察觉异常，血压与面色接近常人,这段时间水喝得多、尿也多，夜里要起夜一两次，但人整体还算有精神，只是偶尔有点心慌和乏力,只是觉得最近老跑厕所，口干容易渴，整个人“虚虚的”，但又说不上是哪里病得厉害,24 小时尿量与肾小球滤过率评估,24 小时尿量轻度增多，滤过率偏高，提示肾皮质代偿性亢进并受轻度结晶刺激,尿量与滤过率在参考范围内，未见代偿性亢进或滤过异常表现,当前评估未能直接证实本次代偿性亢进，但提示肾小球滤过率轻度波动，说明该部位存在其他轻症级别的功能异常,当前评估未能直接证实本次代偿性亢进，却发现滤过率中度下降且尿毒素积聚，提示同部位合并中症级别的其他功能低下病变,当前评估未能直接证实本次代偿性亢进，却显示滤过率重度受损并接近失代偿，提示该部位可能合并重症级别的肾功能衰竭样病变,生活方式干预 + 控制液体与电解质平衡 + 口服温和性利尿调节剂,0
6060014,60,6001,1,中度肾皮质结晶性肾炎,0.6,0.65,面色略显苍白，双踝轻度凹陷性水肿，腰部叩击时表情紧张,最近两侧腰部酸胀得更明显了，晚上会被隐痛惊醒，脚踝还总是肿一圈，量血压也比以前高了一点，整个人容易乏力想躺着,常抱怨“整个人肿肿的”，说裤腰和袜口都勒得难受，腰痛一会儿说在后腰，一会儿又说扩散到肋骨下方,增强肾脏 CT,肾皮质可见多发点片状高密度结晶影，周围实质密度增高，提示中度结晶性肾炎改变,肾轮廓规则，皮质与髓质密度分界清晰，未见异常高密度或水肿影,本次 CT 未能直接显示典型结晶性肾炎，但可见皮质轻度模糊及单发小结节，提示该部位仍有其他轻症级别的炎性或结晶性病变,本次 CT 未能直接显示典型结晶性肾炎，却提示皮质大片中度强化异常，说明同部位合并中症级别的其他炎症或纤维化病灶,本次 CT 未能直接显示典型结晶性肾炎，却发现皮质广泛重度强化及结构破坏，提示同部位已存在重症级别的弥漫性破坏性病变,住院静脉抗炎 + 感染抑制剂 22 号 + 严格水电解质管理,0
6060015,60,6001,1,中度肾皮质滤过率进行性下降,0.4,0.7,眼睑和小腿可见轻度水肿，皮肤略显蜡黄,最近一爬楼就气喘吁吁，腿也有点肿，尿比以前少，晚上还要起夜好几次，早上起来眼皮总是肿一片,只会说“人整天浮浮肿肿的”，形容走两步就累得慌，觉得连戒指和鞋子都变紧了，却说不清到底是水肿还是胖了,动态肾小球滤过率核素显像,滤过率较基线中度下降，显像中肾皮质放射性示踪剂清除延缓，提示进行性功能受损,双肾示踪剂摄取与清除曲线正常，对称性良好，未见滤过障碍或排泄延迟,本次核素显像未能直接确认本次进行性下降，但可见局灶性轻度清除延迟，提示该部位存在其他轻症级别的功能异常灶,本次核素显像未能直接确认本次进行性下降，却发现双肾大片区域中度清除不良，提示同部位合并中症级别的弥漫性功能损害,本次核素显像未能直接确认本次进行性下降，却提示双肾大部分区域重度清除障碍，提示该部位已存在重症级别的近终末期肾功能衰竭病变,住院监护 + 调整血压与水负荷 + 早期肾替代治疗评估,0
6060016,60,6001,2,重度肾皮质广泛源石硬化崩解,1.0,1.1,面色苍白带灰，眼睑与下肢明显水肿，皮肤干燥伴抓痕，步态沉重,现在整个人都肿得厉害，腰痛已经从酸胀变成持续撕扯感，尿量一天不到几次，每次量也很少，还老是恶心、吃什么都想吐，走几步就气短心慌,只会用“整个人都要涨爆了”来形容，反复说腰像被硬块顶着、肚子里都是脏水，已经说不清到底是腰痛还是全身难受,对比增强 CT + 肾活检定位,双侧肾体积缩小，皮质变薄且大范围高密度结晶影融合，部分区域呈崩解样低密度，活检示大片纤维化与源石样硬化，提示肾皮质广泛、重度不可逆破坏,肾轮廓与皮质厚度尚可，对比强化模式正常，活检未见结晶样硬化或弥漫性纤维化改变,本次检查未能直接证实本次广泛硬化崩解，但仍可见皮质轻度硬化及小片坏死，提示该部位存在其他轻症级别的结构损伤,本次检查未能直接证实本次广泛硬化崩解，却发现皮质有中度弥漫性硬化与斑片坏死，提示同部位合并中症级别的破坏性病变,本次检查未能直接证实本次广泛硬化崩解，却提示皮质已有重度广泛坏死与功能单元消失，即使影像未完全呈现亦应按重症危象处理,紧急血液透析准备 + 全身评估后行肾部分切除或源石硬化清除术 + 术前感染抑制剂 23 号与血流动力学稳定支持,1
6060021,60,6002,0,轻度肾盂黏膜结晶附着,0.35,0.3,腹部与腰部外观正常，无可见叩击痛反应,这阵子右侧腰腹部偶尔有点钝痛，像被人用拳头轻轻顶着，多喝点水走一走就缓解，没有发烧也没有明显尿痛,只是说右边腰和肚子交界那一带有点别扭，时好时坏，自己也怀疑是坐姿不良或者饮水少引起的,尿常规 + 泌尿系彩超,尿中可见少量红细胞与微细晶体，肾盂超声提示黏膜稍不光滑，局灶回声增强，符合早期结晶附着,尿常规未见红细胞或晶体，肾盂轮廓与黏膜回声均匀光滑,本次检查未能直接显示黏膜结晶，但发现肾盂黏膜轻度增厚，提示该部位存在其他轻症级别的炎性改变,本次检查未能直接显示黏膜结晶，却提示肾盂黏膜中度增厚并伴点状回声，说明该部位合并中症级别的其他结晶或炎症病变,本次检查未能直接显示黏膜结晶，却提示肾盂腔形态明显改变并伴重度黏膜粗糙，说明同部位存在重症级别的结构性病变,增加饮水量 + 门诊碱化尿液药物 + 轻度运动排石指导,0
6060022,60,6002,0,轻度肾盂引流迟缓,0.35,0.25,体表难以肉眼察觉异常，无明显肋脊角压痛,最近喝水稍微多一点就觉得后腰闷胀，平躺休息一会儿会好一点，尿量总体正常，就是排完尿后总感觉还有一点没排干净,常说“后腰和肚子里像一直积着水”，形容成闷着的不舒服，却又说不上来是痛还是胀,静脉尿路造影,造影剂进入肾盂后清除略迟缓，肾盂轮廓轻度饱满，无明显梗阻影像，提示早期引流功能受限,造影剂进入与排出时间正常，肾盂与输尿管显影清晰，无梗阻或引流障碍表现,本次造影未能直接证实本次引流迟缓，但可见肾盂轻度形态改变，提示该部位存在其他轻症级别的功能或形态异常,本次造影未能直接证实本次引流迟缓，却提示肾盂中度扩张并伴输尿管充盈不均，说明同部位合并中症级别的梗阻性病变,本次造影未能直接证实本次引流迟缓，却显示肾盂重度扩张并有造影剂滞留，提示该部位已存在重症级别的高压梗阻样病变,门诊随访 + 调整饮水与排尿习惯 + 必要时短程解痉药,0
6060023,60,6002,0,早期肾盂源石刺激性炎症,0.3,0.3,外观无可见异常，偶在右肋脊角叩击时轻微皱眉,最近有时候会在腰背深处感觉一阵阵灼烧样的酸痛，轻轻拍打的时候会更明显一点，但没有发冷发热，就是整个人有点疲乏,只说“后背老像被烫了一下”，一会儿说在腰，一会儿说在靠近肋骨那块，很难给出固定位置,尿沉渣镜检 + 炎症指标,尿沉渣见少量白细胞与上皮细胞，C 反应蛋白轻度升高，提示肾盂黏膜受轻度源石刺激性炎症影响,尿沉渣细胞数量正常，炎症指标在参考范围内，未见活动性炎症证据,当前检查未能直接证实本次刺激性炎症，但发现肾盂相关炎症指标轻度波动，提示该部位存在其他轻症级别的炎性病变,当前检查未能直接证实本次刺激性炎症，却提示炎症指标中度升高并伴菌落增多，说明该部位合并中症级别的感染性病变,当前检查未能直接证实本次刺激性炎症，却显示炎症指标重度升高与菌血症征象，提示同部位可能存在重症级别的化脓性或坏死性病变,短程口服消炎药 + 感染抑制剂 21 号 + 规律复查尿检,0
6060024,60,6002,1,中度肾盂结晶性梗阻,0.6,0.65,同侧腰部轻度隆起压痛，活动时表情明显不适,这两天右侧腰腹部持续绞痛，痛起来会从后腰放射到下腹和大腿根，憋尿时明显加重，走路也会牵扯着痛,常形容“像有人在后腰拧着一块硬东西”，一会儿说是腰肌劳损，一会儿又说像肚子痛，难以明确是在腰还是在腹部,泌尿系增强 CT,肾盂可见团块状结晶影部分堵塞出口，上游肾盂中度扩张，肾周可见轻度液体渗出，提示中度结晶性梗阻,肾盂形态与密度正常，未见结晶或结石样高密度影，无梗阻征象,本次 CT 未能直接显示结晶性梗阻，但可见肾盂轻度扩张与单发小结节，提示该部位存在其他轻症级别的结晶或炎症病变,本次 CT 未能直接显示结晶性梗阻，却提示肾盂出口区域有中度狭窄与强化异常，说明同部位合并中症级别的狭窄性病变,本次 CT 未能直接显示结晶性梗阻，却显示肾盂严重扩张与肾实质严重变薄，提示该部位已存在重症级别的高压梗阻性损伤,住院镇痛 + 促进排石治疗 + 感染抑制剂 22 号静滴 + 必要时放置暂时性输尿管支架观察,0
6060025,60,6002,1,中度肾盂源石性积液,0.4,0.7,腹部轻度胀满，叩诊可见同侧肋下轻度浊音,最近总觉得右侧肋骨下方鼓鼓的，饭后更紧绷，走快一点就会牵扯着腰痛，有时候还会恶心想吐，但体温只有微微偏高,只会说“这一整片都涨得慌”，用手拍打自己腰腹部，说像肚子和腰同时被水撑着，很难说清疼痛起点,肾盂造影超声联合检查,超声示肾盂中度积液，回声中可见细小高亮结晶点漂浮，造影显示引流通路变窄但未完全梗阻,肾盂未见异常回声或积液，造影时腔面光滑，引流路径通畅,本次检查未能直接确认本次源石性积液，但可见肾盂轻度扩张与少量无定形回声，提示该部位存在其他轻症级别的积液或炎症,本次检查未能直接确认本次源石性积液，却提示肾盂腔内有中度黏液及沉积物堆积，说明同部位合并中症级别的分泌性或梗阻性病变,本次检查未能直接确认本次源石性积液，却显示肾盂腔严重扩大并充满致密回声，提示该部位已存在重症级别的高压积液与结构破坏,住院观察 + 控制感染与利尿 + 必要时介入减压引流,0
6060026,60,6002,2,重度肾盂源石性脓性积水,1.0,1.1,同侧腰部明显隆起压痛，皮肤偏红温度升高，步态谨慎躬身保护患侧,现在右侧腰腹像被硬块撑开一样持续剧痛，整天发冷发热，尿量明显减少，尿味更重，稍微碰一下那边就痛到直吸气,只会说“这边整个肚子和腰都要炸开了”，反复提到发烧发冷、浑身酸痛，把所有不适都混在一起，很难再具体描述哪一块更痛,增强 CT + 经皮穿刺引流试验,CT 示肾盂高度扩张，腔内不均匀高密度物充满并与结晶沉积相混，周围脂肪间隙模糊，穿刺引流出脓性液体伴大量结晶碎片，提示源石性脓性积水形成,肾盂形态与密度正常，未见积液或结晶沉积，穿刺未抽出脓性或异常液体,本次检查未能直接证实本次脓性积水，但仍可见肾盂轻度扩张与少量浑浊液体，提示该部位存在其他轻症级别的感染或积液,本次检查未能直接证实本次脓性积水，却发现肾盂腔内中度混浊液体与壁增厚，提示同部位合并中症级别的感染性积液病变,本次检查未能直接证实本次脓性积水，却提示肾盂腔已被大量致密脓液和结晶堵塞，周围组织显著受侵，须按重症危象优先处理,紧急经皮或开放肾盂减压引流术 + 清理结晶与脓液 + 术前广谱抗感染和感染抑制剂 23 号冲击 + 术后强化监护,1
6060031,60,6003,0,轻度输尿管壁结晶沉积,0.35,0.3,腹部与腰部外观正常，移动时偶见轻微不适表情,最近下腹到腰侧一带偶尔会有细细的刺痛感，一阵一阵的，持续时间不长，多喝水、走一走就会缓解，没有明显血尿,只是说“侧腰到下腹这条线老是隐隐怪怪的”，有时觉得像抽筋，有时又说像勒得紧,泌尿系超声,输尿管走行略显粗糙，局灶回声增强点分布沿壁排列，提示早期壁内结晶沉积,输尿管走行清晰，管腔规则，壁层回声均匀，未见异常高回声灶,本次超声未能直接证实本次壁结晶沉积，但可见输尿管局部轻度扩张，提示该部位存在其他轻症级别的功能改变,本次超声未能直接证实本次壁结晶沉积，却提示管壁中度增厚伴周围回声改变，说明该部位合并中症级别的炎性或纤维性病变,本次超声未能直接证实本次壁结晶沉积，却显示输尿管重度扩张和腔形扭曲，提示该部位已存在重症级别的梗阻性结构损伤,增加饮水 + 低负荷活动促进尿路冲洗 + 口服轻度解痉药,0
6060032,60,6003,0,轻度输尿管蠕动功能紊乱,0.35,0.25,体表难以肉眼察觉异常，腹部按压仅轻度不适,这段时间小便前后小腹总有点发紧，好像尿路在用力挤一样，但尿量和频率基本正常，只是偶尔会有一阵抽痛,常抱怨“肚子下面老在抽抽的”，说不上是疼还是痉挛，位置在下腹到腰侧之间来回变,排泄性尿路造影,造影显示输尿管总体通畅，但节律性收缩略不协调，部分段蠕动减弱，符合轻度功能紊乱表现,造影过程中输尿管收缩节律规律，造影剂推进顺畅，无节段性停滞,本次造影未能直接确认本次功能紊乱，但可见单段输尿管轻度扩张，提示该部位存在其他轻症级别的动力学改变,本次造影未能直接确认本次功能紊乱，却提示多段输尿管中度扩张伴收缩不协调，说明同部位合并中症级别的输尿管动力障碍,本次造影未能直接确认本次功能紊乱，却显示输尿管大范围严重蠕动消失与造影剂滞留，提示该部位已存在重症级别的动力与结构双重损伤,门诊解痉药物 + 适度热敷理疗 + 调整排尿习惯,0
6060033,60,6003,0,早期输尿管源石性刺激综合征,0.3,0.3,外观无可见异常，偶有下腹部轻按压躲避动作,最近总觉得小腹往两侧延伸有一条隐隐灼热的痛感，像有东西在往下划，但每次时间都不长，没有发烧，只是排尿后会更酸一点,只说“从腰到小肚子有条路在火辣辣的”，一会儿指着腰，一会儿又指着耻骨上方，很难固定在一处,尿微粒分析 + 炎症指标,尿微粒中可见细小结晶与少量炎性细胞，系统炎症指标轻度升高，提示输尿管黏膜受早期源石性刺激,尿微粒未见异常结晶形态，炎症指标正常，未提示尿路黏膜活动性刺激,当前检查未能直接证实本次刺激综合征，但可见输尿管相关炎症指标轻度波动，提示该部位存在其他轻症级别的炎症改变,当前检查未能直接证实本次刺激综合征，却提示炎症指标中度升高并伴菌群异常，说明同部位合并中症级别的感染性病变,当前检查未能直接证实本次刺激综合征，却显示炎症指标重度升高且出现菌血迹象，提示该部位可能存在重症级别的化脓性损害,口服镇痛 + 防感染用药 21 号 + 规律复查尿检,0
6060034,60,6003,1,中度输尿管结晶性绞痛综合征,0.6,0.65,疼痛侧腰部与下腹压痛明显，行走时下意识弯腰护腹,这两天腰侧到小腹的绞痛明显加剧，像有什么硬块在管子里来回刮，痛的时候需要蜷缩着才能勉强缓解，排尿后会短暂减轻,常形容“像被刀在肚子侧面来回搅”，一会儿说痛在腰眼，一会儿又说痛在肚脐旁甚至大腿根，范围模糊却非常难受,低剂量螺旋 CT,输尿管腔内可见条索状和小簇高密度结晶影，部分贴附于管壁，周围轻度水肿，符合结晶性绞痛综合征影像表现,输尿管走行清晰，腔内未见明显高密度影或壁层水肿征象,本次 CT 未能直接证实本次结晶性绞痛，但可见输尿管轻度扩张与壁回声改变，提示该部位存在其他轻症级别的结晶或炎症病变,本次 CT 未能直接证实本次结晶性绞痛，却提示输尿管内中度结晶团块或狭窄，说明同部位合并中症级别的梗阻或占位性病变,本次 CT 未能直接证实本次结晶性绞痛，却显示输尿管大段重度扩张与腔完全阻断，提示该部位已存在重症级别的高压梗阻,住院镇痛输液 + 解痉与排石药物联合 + 感染抑制剂 22 号 + 观察有无手术指征,0
6060035,60,6003,1,中度输尿管壁纤维化狭窄,0.4,0.7,患侧腰部轻度凹陷性压痛，皮肤张力略显不对称,最近同一侧腰腹总是钝痛不适，走快一点或者憋尿久了就会加重，尿量感觉比以前略少，偶尔有少量肉眼血尿,只会说“这一边腰和肚子总是紧紧的”，描述尿色一会儿说偏黄一会儿又说发红，但具体什么情况下更严重记不清,逆行输尿管造影,造影示中段输尿管管腔中度变窄，轮廓僵硬，造影剂通过延迟，符合结晶后壁纤维化狭窄表现,输尿管造影片中管腔粗细均匀，造影剂通过时间正常，无局灶狭窄或变形,本次造影未能直接确认本次纤维化狭窄，但可见局部轻度腔形改变，提示该部位存在其他轻症级别的粘连或动力障碍,本次造影未能直接确认本次纤维化狭窄，却提示多段管腔中度狭窄与壁僵硬，说明同部位合并中症级别的广泛性结构病变,本次造影未能直接确认本次纤维化狭窄，却显示长段输尿管严重管腔闭塞，提示该部位已存在重症级别的不可逆性梗阻病变,住院抗炎与抗纤维化药物 + 计划性输尿管支架置入评估,0
6060036,60,6003,2,重度输尿管源石性全段梗阻,1.0,1.1,患侧腰腹明显隆起，皮肤紧绷，对轻触即出现明显躲避反应,现在整条从腰到小腹的路线都是撕裂样绞痛，几乎完全尿不出来，只有几滴深色尿，伴随恶心、冷汗和明显心慌，根本站不稳,只会重复说“这条路要断掉了”，从腰眼到小肚子都指做同一个地方，又说痛到让人想撞墙，已经无法再分清楚是刺痛还是绞痛,增强 CT + 输尿管镜联合评估,CT 显示输尿管多段连续高密度结晶团完整堵塞管腔，上游肾盂与肾实质严重扩张，镜下见管壁糜烂变形，提示全段梗阻并伴广泛源石性破坏,输尿管腔形完整，未见结晶团或梗阻征象，镜下黏膜光滑无糜烂或结构破坏,本次检查未能直接证实本次全段梗阻，但仍可见局部轻度狭窄或小结晶团，提示该部位存在其他轻症级别的梗阻性病变,本次检查未能直接证实本次全段梗阻，却提示长段中度管腔狭窄与结晶堆积，说明同部位合并中症级别的严重梗阻病变,本次检查未能直接证实本次全段梗阻，却显示输尿管腔几乎完全闭塞且周围组织严重受侵，即便影像不典型亦需按重症梗阻危象处理,紧急输尿管镜下碎石取石或开放性梗阻段切除重建术 + 术前镇痛与抗感染 + 感染抑制剂 23 号冲击 + 术后留置支架与严密监护,1
6060041,60,6004,0,轻度膀胱黏膜结晶斑块,0.35,0.3,腹部与会阴部外观基本正常，无明显压痛,最近小便尾声会有一点刺痛，尿色偶尔偏深，但大部分时间还算正常，只是偶尔会有轻微下腹坠胀感,常说“尿完总觉得还有一点没干净”，形容成小肚子里面有沙子刮，但又说不上哪里最痛,尿常规 + 膀胱超声,尿常规中可见少量红细胞和微细晶体，膀胱壁超声示局灶轻度增厚伴点状高回声，提示早期黏膜结晶斑块形成,尿常规细胞成分正常，超声下膀胱壁厚度均匀，无异常高回声灶,本次检查未能直接显示黏膜结晶斑块，但可见膀胱黏膜轻度粗糙，提示该部位存在其他轻症级别的炎性改变,本次检查未能直接显示黏膜结晶斑块，却提示膀胱壁中度增厚伴散在回声异常，说明同部位合并中症级别的结晶或炎症病变,本次检查未能直接显示黏膜结晶斑块，却显示膀胱壁重度不规则增厚和腔形改变，提示该部位已存在重症级别的结构破坏性病变,多饮水 + 碱化尿液药物 + 门诊随访,0
6060042,60,6004,0,轻度膀胱容量调节障碍,0.35,0.25,体表难以肉眼察觉异常，腹部仅在膀胱充盈时轻度隆起,这段时间总是很容易想上厕所，明明喝水不多却一两个小时就要去一次，每次量都不算特别多，偶尔夜里也会被憋醒一次,常抱怨“小肚子像装不下水一样”，一会儿说是尿太多，一会儿又说其实尿不出来多少，只觉得老被催着跑厕所,膀胱压力-容量测定,压力-容量曲线显示早期出现排尿感，最大膀胱容量轻度下降，符合轻度容量调节障碍,压力-容量曲线在正常范围，排尿感出现与最大容量均符合生理曲线,本次测定未能直接证实本次容量调节障碍，但可见膀胱顺应性轻度改变，提示该部位存在其他轻症级别的功能异常,本次测定未能直接证实本次容量调节障碍，却提示顺应性中度下降并伴逼尿肌活动异常，说明同部位合并中症级别的神经源性或结构性病变,本次测定未能直接证实本次容量调节障碍，却显示膀胱顺应性重度丧失且压力异常升高，提示该部位已存在重症级别的高压小容量膀胱病变,行为疗法训练排尿间隔 + 口服轻度解痉与镇静药物,0
6060043,60,6004,0,早期膀胱源石性刺激综合征,0.3,0.3,外观无可见异常，偶在下腹触诊时轻微紧绷,最近小便前后小肚子都会有轻微灼热感，像被烫了一下，喝水多的时候会好一点，没有明显发烧,只说“尿前尿后小肚子都发烫”，有时还会把这种感觉说成肠胃不舒服，难以明确和排尿直接相关,膀胱镜下表面检查,膀胱黏膜大部分光滑，仅在后壁可见散在细小晶体附着点和轻度充血，提示早期源石性刺激征象,膀胱黏膜表面光滑粉红，无晶体附着或异常充血,当前膀胱镜未能直接证实本次刺激综合征，但可见单发轻度黏膜充血灶，提示该部位存在其他轻症级别的炎症病变,当前膀胱镜未能直接证实本次刺激综合征，却提示多发中度黏膜充血与颗粒样改变，说明同部位合并中症级别的慢性炎症或结晶病变,当前膀胱镜未能直接证实本次刺激综合征，却显示大片黏膜糜烂与异常结晶覆盖，提示该部位已存在重症级别的破坏性病变,口服镇痛与抗刺激药物 21 号 + 控制尿液浓缩度 + 复查膀胱镜,0
6060044,60,6004,1,中度膀胱结晶性炎症,0.6,0.65,下腹轻度隆起压痛，步行时不自觉按压小腹缓解不适,最近排尿明显变得频繁而且急，一憋久一点就会小肚子剧烈刺痛，尿末时有灼痛感，偶尔还能看到一点血丝,常说“整天都像在跑厕所的路上”，形容小肚子又涨又痛，但时而说是尿道，时而又说是肚子里深处在烧,尿细菌培养 + 膀胱超声,尿培养提示轻至中度细菌生长，超声示膀胱壁中度增厚，并可见腔内细小高回声结晶悬浮，符合结晶性炎症表现,尿培养阴性，膀胱超声未见壁增厚或腔内异常回声,本次检查未能直接确认本次结晶性炎症，但可见膀胱壁轻度不规则，提示该部位存在其他轻症级别的炎性病变,本次检查未能直接确认本次结晶性炎症，却提示膀胱壁中度弥漫性增厚与充血，说明同部位合并中症级别的非结晶性炎症病变,本次检查未能直接确认本次结晶性炎症，却显示膀胱壁重度增厚并伴深层回声紊乱，提示该部位已存在重症级别的破坏性炎症或纤维化病变,短程静脉抗感染 + 感染抑制剂 22 号 + 口服镇痛解痉药,0
6060045,60,6004,1,中度膀胱容量进行性缩小,0.4,0.7,下腹平坦但触诊时明显紧张，排尿前膀胱区叩诊痛明显,最近几乎每隔半小时就要去厕所，不去就会小肚子剧烈胀痛，但每次尿量都不多，晚上睡觉更是要起夜好几趟，已经严重影响休息,只会抱怨“小肚子像被钢圈勒紧了”，说不管喝多喝少都想尿，描述成“膀胱被越缩越小”,膀胱测压 + 造影,测压示最大膀胱容量较正常中度降低，膀胱壁顺应性下降，造影可见腔体缩小且壁僵硬，符合进行性缩小表现,膀胱压力与容量曲线正常，造影显示腔体大小与形态在生理范围,本次联合检查未能直接证实本次容量缩小，但可见膀胱顺应性轻度下降，提示该部位存在其他轻症级别的功能性改变,本次联合检查未能直接证实本次容量缩小，却提示顺应性中度下降并伴逼尿肌活动紊乱，说明同部位合并中症级别的神经源性或炎性病变,本次联合检查未能直接证实本次容量缩小，却显示膀胱容量严重下降且压力异常偏高，提示该部位已存在重症级别的高压小膀胱病变,住院监护 + 抗炎与抗纤维化药物 + 计划性膀胱扩张术评估,0
