cid,system_id,part_id,severity_level,name,weight,normal_medicine_bonus,appearance_indicator,patient_statement_clear,patient_statement_vague,exam_method,exam_result_positive,exam_result_negative,recheck_hint_mild,recheck_hint_moderate,recheck_hint_severe,treatment_plan,requires_surgery
4010021,40,4004,0,轻度十二指肠壁内微结晶沉积,0.33,0.03,体表查体无异常，腹壁柔软,这段时间偶尔会在右上腹深处感到瞬间的刺痛，像被针扎一下，很快又消失，位置不太固定但总在肋缘附近,她只会说“这边老是被戳一下”，用手在右肋缘附近随意比划，疼痛很难预测也说不出规律,腹部超声 + 低剂量 CT,十二指肠壁层内散在细小高回声点伴轻度壁厚改变，提示轻度源石微结晶沉积,壁层厚度正常，未见高回声点或密度异常,本次检查未能直接证实微结晶沉积，但在附近肠襞仍见轻度水肿，提示同部位存在其他轻症级别炎症,本次检查未能直接证实微结晶沉积，却发现某一节段有中度壁层增厚，提示同部位合并中症级别浸润性病变,本次检查未能直接证实微结晶沉积，却在深层显示不规则大块高密度影，提示同部位已存在重症级别结晶团块,口服肠黏膜营养剂 + 定期随访影像,0
4010022,40,4004,1,中度十二指肠结晶性溃疡,0.5,0.06,上腹及右上腹深压可诱发明显局限性压痛,今天上腹偏右的位置一直有 6 分左右的持续性灼痛，空腹时更严重，吃一点东西会暂时缓解，但夜间常被痛醒,她会说“这边好像被烧了个洞”，用手在右上腹画半圈，疼痛范围经常从心窝说到右肋缘,上消化道内镜 + 活检,十二指肠球部可见边界清楚的溃疡，底部附着晶体样物质，活检提示结晶相关炎症与纤维化，符合中度结晶性溃疡,内镜未见典型溃疡，仅有轻度黏膜充血，活检未提示结晶相关改变,本次检查未能直接证实结晶性溃疡，但在周边黏膜仍见轻度糜烂点，提示同部位存在其他轻症级别溃疡,本次检查未能直接证实结晶性溃疡，却显示球部另一侧有中度壁层缺损和渗出，提示同部位合并中症级别深溃病灶,本次检查未能直接证实结晶性溃疡，却显示壁层连续性严重受损并伴粗大结晶影，提示同部位已存在重症级别穿孔危险,住院静脉抑酸 + 黏膜保护剂 + 必要时输血与营养支持,0
4010023,40,4004,1,中度十二指肠动力失衡,0.5,0.055,腹部外观正常，偶有轻微肠鸣亢进,这段时间一会儿腹泻一会儿便秘，上腹和右侧腹部会有 5 分左右的绞痛和隐痛交替出现，多在进食后半小时加重,她多说“肚子一直在拧”，感觉从心窝到肚脐右侧都在翻腾，具体是哪里先痛常常说不清,小肠造影 + 肠动力测试,造影显示十二指肠推进节律不齐，部分节段收缩增强，动力测试提示中度节律失衡,造影与动力测试均显示节律与推进速度正常,本次检查未能直接证实动力失衡，但在局部仍见轻度动力减弱，提示同部位存在其他轻症级别运动异常,本次检查未能直接证实动力失衡，却发现远端有中度狭窄和液体滞留，提示同部位合并中症级别结构性病变,本次检查未能直接证实动力失衡，却在壁层深部显示大块结晶压迫腔道，提示同部位已存在重症级别阻塞病灶,解痉药物 + 肠道微生态调节 + 短期饮食调整,0
4010024,40,4004,2,重度十二指肠结晶性穿孔,1.0,0.11,上腹板状腹表现，患者屈膝蜷缩，表情痛苦明显,目前上腹和右上腹撕裂样剧痛，疼痛接近 9 分，咳嗽和翻身都会明显加重，伴有持续恶心、出冷汗和极度虚弱感,她只能断断续续喊“肚子要炸开了”，紧抱着上腹拒绝翻身，很难完整回答任何细问,急诊腹部 CT + 立位腹部平片,CT 显示十二指肠壁层明显中断，腔内外粗大结晶团块伴游离气体与腹腔积液，平片见膈下游离气体，提示重度结晶性穿孔,影像未见壁层中断或游离气体，腹腔积液量极少，与结晶性穿孔不符,本次检查未能直接证实结晶性穿孔，但仍可见局灶轻度壁层变薄和少量渗出，提示同部位存在其他轻症级别溃疡,本次检查未能直接证实结晶性穿孔，却发现相邻节段有中度壁层增厚和局限性积液，提示同部位合并中症级别深层病变,本次检查未能直接证实结晶性穿孔，却在多层重建中显示大块结晶团块紧贴肠壁并导致局部严重狭窄，提示同部位已存在重症级别高危阻塞,急诊全麻下腹腔探查 + 穿孔修补与结晶清除 + 术前抗感染与容量复苏,1
4010025,40,4005,0,轻度肝实质弥漫性微结晶,0.34,0.025,右上腹视诊正常，无明显肿大征象,最近体检时发现肝功能轻度异常，自己偶尔会感觉右上腹深处有钝钝的不适，疼痛 2~3 分，多在劳累后出现,她只是说“这边总觉得坠着”，用手按在右肋缘下面一大片区域，难以具体指出疼痛点,腹部超声 + 肝功能检查,超声提示肝实质回声略增粗，散在细小高回声点，肝功能轻度异常，考虑轻度微结晶沉积可能,超声显示肝实质回声均匀，肝功能各项指标在正常范围,本次检查未能直接证实弥漫性微结晶，但在肝缘仍见轻度回声增强，提示同部位存在其他轻症级别改变,本次检查未能直接证实弥漫性微结晶，却显示部分肝段有中度回声不均和体积改变，提示同部位合并中症级别局灶病变,本次检查未能直接证实弥漫性微结晶，却在 CT 中见明显不规则高密度灶，提示同部位已存在重症级别结晶团块或肿瘤样病变,生活方式调整 + 保肝药物 + 动态肝功能随访,0
4010026,40,4005,0,轻度肝小叶灌注不均,0.33,0.028,腹部体表无异常，未见黄疸或蜘蛛痣,最近一段时间比较容易疲劳，稍微活动就觉得乏力，偶尔在右上腹深处有短暂刺痛，但很快可以缓解,她只会形容“人整天软绵绵的”，感觉从右侧肋缘到后背都不太舒服，说不清是不是肝区,动态增强 CT + 肝血流评估,增强早期显示肝小叶间灌注轻度不均，部分区域强化稍迟，提示轻度血流分布异常,增强各期强化模式均匀，未见灌注不均或延迟,本次检查未能直接证实灌注不均，但在某些小叶周围仍见轻度密度改变，提示同部位存在其他轻症级别血流异常,本次检查未能直接证实灌注不均，却发现部分肝段有中度灌注缺损，提示同部位合并中症级别缺血或占位病变,本次检查未能直接证实灌注不均，却在后期成像中见大片灌注中断区，提示同部位已存在重症级别梗死或广泛浸润,适度运动与休息平衡 + 口服改善微循环药物,0
4010027,40,4005,0,轻度肝包膜牵扯痛,0.33,0.027,右上腹体表外观正常，轻压无明显防御,近一两周偶尔在大笑或深呼吸时右肋缘下方会有一阵轻微刺痛，持续时间短，大约十几秒就消失,她多半说“笑大了这边会抽一下”，感觉像肌肉拉扯一样，说不清是肝还是肋间痛,腹部超声 + 体位叩诊,肝脏大小与形态基本正常，深吸气时叩击肝缘可诱发轻度不适，提示轻度包膜牵扯但无明显器质性病变,超声与体位叩诊均未诱发异常疼痛，肝缘边界清晰,本次检查未能直接证实包膜牵扯痛，但在周边肌肉观察到轻度紧张，提示同部位存在其他轻症级别肌肉骨骼问题,本次检查未能直接证实包膜牵扯痛，却发现肝缘下方有中度结晶样高回声区，提示同部位合并中症级别结晶性嵌压,本次检查未能直接证实包膜牵扯痛，却显示右上腹深处有明显占位影压迫肝表面，提示同部位已存在重症级别压迫性病灶,避免剧烈体位变化 + 必要时口服解痉止痛药,0
4010028,40,4005,1,中度肝实质结晶性斑块,0.5,0.06,右上腹轻压有隐痛反应，表情略紧张,最近右上腹深部一直有 5~6 分的闷痛和隐痛，久坐或久站后更明显，有时会放射到右肩背部，偶尔伴有轻度恶心,她会说“这里像被塞了块硬东西”，从右肋缘到后背都觉得胀胀的，很难明确指出根源点,腹部超声 + 增强 CT,肝实质内多发斑片状高回声区，CT 显示对应部位中度高密度结晶斑块，周围轻度纤维化,肝实质回声与密度分布均匀，未见高密度斑块或纤维化带,本次检查未能直接证实结晶性斑块，但在相邻区域仍见轻度回声改变，提示同部位存在其他轻症级别病变,本次检查未能直接证实结晶性斑块，却发现部分肝段有中度体积缩小和轮廓不规则，提示同部位合并中症级别结构损害,本次检查未能直接证实结晶性斑块，却在深层显示大片密集高密度影与血流受阻，提示同部位已存在重症级别广泛硬化,住院监测肝功能 + 抗炎及抗纤维化药物联合治疗,0
4010029,40,4005,1,中度肝门静脉流出道受压,0.5,0.055,腹部外观略见轻度腹胀，浅表静脉尚不明显,这段时间经常觉得右上腹和腹中间都发胀，尤其是傍晚更明显，偶尔会有 5 分左右的隐痛，同时活动后容易气短,她多说“整肚子像被气吹起来了”，感觉从右上腹一路涨到肚脐周围，很难确定是肝还是肠的问题,腹部彩超 + 门静脉血流测定,超声提示门静脉主干受肝门附近结晶斑块压迫，流速中度减慢，血流阻力指数升高,门静脉管径与流速在正常范围，未见受压或狭窄征象,本次检查未能直接证实名静脉受压，但在肝实质仍见轻度回声增强，提示同部位存在其他轻症级别改变,本次检查未能直接证实名静脉受压，却发现门静脉分支有中度狭窄，提示同部位合并中症级别流出道病变,本次检查未能直接证实名静脉受压，却显示门静脉主干与分支存在显著狭窄甚至中断，提示同部位已存在重症级别门静脉阻塞,限制钠盐摄入 + 利尿与改善门静脉循环药物,0
4010030,40,4005,2,重度肝广泛结晶性硬化,1.0,0.11,腹部可见轻度鼓胀，右上腹压痛明显，可疑轻度腹水波动,目前整个人非常乏力，右上腹持续 8 分左右的胀痛和钝痛，走几步就会气喘，伴有明显食欲下降和体重减轻,她只会反复说“整个人都要散架了，这边硬得像石头”，指着右上腹和整个肚子，难以单独区分哪一块最痛,增强 CT + 磁共振弹性成像,影像显示肝轮廓不规则，实质广泛粗大高密度结晶团块，弹性成像提示肝硬度显著升高，符合重度结晶性硬化,肝形态与弹性值基本正常，未见广泛结晶团块或严重硬化,本次检查未能直接证实广泛结晶性硬化，但在部分肝段仍见轻度硬度升高，提示同部位存在其他轻症级别纤维化,本次检查未能直接证实广泛结晶性硬化，却发现局灶中度硬度不均与体积改变，提示同部位合并中症级别局灶病变,本次检查未能直接证实广泛结晶性硬化，却在多平面重建中显示大块结晶占据肝门与多条血管，提示同部位已存在重症级别失代偿风险,择期全麻下肝部分切除或减容手术 + 术前肝功能优化与抗感染准备,1
4010031,40,4006,0,轻度胰腺外分泌功能波动,0.34,0.025,上腹与左上腹体表无异常,最近总是在吃完油腻一点的东西后有轻微腹泻，上腹隐隐不适，大约 2~3 分，但没有明显持续疼痛,她多说“吃完饭肚子总是咕噜咕噜的”，整片上腹和肚脐周围都在响，分不清是胃还是肠子问题,粪便弹性酶测定 + 腹部超声,粪便弹性酶轻度降低，胰腺形态基本正常，提示胰腺外分泌功能轻度波动,弹性酶水平正常，超声未见胰腺形态改变,本次检查未能直接证实分泌功能波动，但在胰周仍见轻度脂肪回声改变，提示同部位存在其他轻症级别改变,本次检查未能直接证实分泌功能波动，却发现胰体局灶中度回声不均，提示同部位合并中症级别结构性病变,本次检查未能直接证实分泌功能波动，却在深层影像中显示明显结晶团块，提示同部位已存在重症级别结晶性炎症,饮食脂肪控制 + 口服消化酶制剂,0
4010032,40,4006,0,轻度胰腺导管微结晶堵塞,0.33,0.028,上腹外观平坦，无压痛,近来偶尔会在吃完甜食或油炸食物后出现心窝部短暂的轻微胀痛，大约 3 分，很快可以自行缓解,她说“有时候这块会被戳一下”，手在心窝一片范围来回，比不出具体一条线,腹部超声 + MRCP,主胰管走形大致正常，仅在部分小分支末端可见细小高回声点，MRCP 显示局灶轻度充盈缺损，考虑微结晶堵塞,胰管未见充盈缺损或高回声影，走形与口径正常,本次检查未能直接证实微结晶堵塞，但在邻近组织仍见轻度水肿，提示同部位存在其他轻症级别炎性改变,本次检查未能直接证实微结晶堵塞，却显示某支胰管有中度扩张，提示同部位合并中症级别引流障碍,本次检查未能直接证实微结晶堵塞，却在深部成像中发现明显管腔扩张并伴粗大结晶影，提示同部位已存在重症级别梗阻,控制饮食刺激 + 口服解痉及促进分泌排出药物,0
4010033,40,4006,0,轻度胰周神经敏感性增高,0.33,0.027,体表查体无特异改变，上腹触诊仅轻度不适,最近时不时会觉得上腹偏左后方有放射性的轻微刺痛或酸胀，持续几分钟就缓解，疼痛大约 3 分,她只是说“这边后面老抽着疼”，一会儿指前面心窝，一会儿指后背，很难界定具体位置,腹部超声 + 神经阻滞试验,胰腺形态基本正常，局部神经阻滞后疼痛敏感度下降，提示胰周神经敏感性轻度增高,影像与神经阻滞试验均未引出明显差异，疼痛阈值正常,本次检查未能直接证实神经敏感性增高，但在邻近胰周脂肪仍见轻度回声改变，提示同部位存在其他轻症级别改变,本次检查未能直接证实神经敏感性增高，却发现局部有中度炎性渗出，提示同部位合并中症级别炎症,本次检查未能直接证实神经敏感性增高，却在深层显示较大范围高密度影，提示同部位已存在重症级别结晶性病灶,生活管理与心理舒缓 + 必要时小剂量镇痛药,0
4010034,40,4006,1,中度胰腺结晶性炎症,0.5,0.06,上腹压痛明显，患者不自觉弯腰护腹,这两天上腹持续 6 分左右胀痛和钝痛，往后背放射，吃东西会加重，伴有恶心、食欲下降和轻度发热,她多说“这里和后背一起在烧”，从心窝到左侧腰背都不舒服，很难分清哪边先痛,腹部增强 CT + 血清淀粉酶,CT 显示胰体及胰尾体积略增大，周围脂肪条索影增粗，可见散在中度高密度结晶影，血清淀粉酶轻度升高,胰腺大小与形态正常，周围脂肪纹理清晰，淀粉酶水平在正常范围,本次检查未能直接证实结晶性炎症，但在胰周仍见轻度脂肪浸润，提示同部位存在其他轻症级别炎症,本次检查未能直接证实结晶性炎症，却发现部分区域有中度液体积聚，提示同部位合并中症级别坏死或渗出,本次检查未能直接证实结晶性炎症，却在深层成像中显示大片不规则高密度灶，提示同部位已存在重症级别坏死性病变,住院禁食补液 + 静脉镇痛与抑制胰酶分泌药物,0
4010035,40,4006,1,中度胰腺导管结晶性梗阻,0.5,0.055,上腹略胀，深压时疼痛加重,近期进食后上腹和左腰背多有 5~6 分绞痛，持续时间较长，伴有恶心但少呕吐，平躺会稍微缓解,她描述为“这里像被扭成一圈”，一会儿指心窝，一会儿指腰背，一整片都觉得别扭,MRCP + 腹部 CT,MRCP 显示主胰管部分节段中度扩张，腔内可见条索状充盈缺损，CT 对应部位为中度高密度结晶影,胰管走形与口径均匀，未见扩张或充盈缺损,本次检查未能直接证实导管结晶性梗阻，但在远端仍见轻度管径变化，提示同部位存在其他轻症级别引流异常,本次检查未能直接证实导管结晶性梗阻，却发现在另一节段有中度扩张和壁层增厚，提示同部位合并中症级别梗阻病变,本次检查未能直接证实导管结晶性梗阻，却显示主胰管大段严重扩张并伴粗大结晶影，提示同部位已存在重症级别完全梗阻,住院静脉补液 + 解痉与防护治疗，必要时内镜下引流评估,0
4010036,40,4006,2,重度胰腺广泛结晶性坏死,1.0,0.11,上腹明显压痛与反跳痛，患者蜷缩体位，表情痛苦伴出汗,目前上腹和左腰背剧烈撕裂样疼痛，疼痛接近 9 分，几乎无法直立，伴有持续呕吐和明显发热与心率增快,她只能不停地喊“这里要裂开了”，双手紧抱上腹和腰背，难以用语言清楚描述疼痛细节,增强 CT + 实时超声监测,CT 显示胰腺体积增大不均，多发低密度坏死区夹杂粗大结晶团块，周围大量液体与渗出，符合广泛结晶性坏死,影像仅见轻度肿胀，无明显坏死或大块结晶影，与广泛结晶性坏死诊断不符,本次检查未能直接证实广泛结晶性坏死，但在局部仍见轻度低密度区，提示同部位存在其他轻症级别炎性改变,本次检查未能直接证实广泛结晶性坏死，却发现部分区域有中度坏死和液体集合，提示同部位合并中症级别坏死性胰腺炎,本次检查未能直接证实广泛结晶性坏死，却在多平面重建中见大片无强化坏死区及巨大结晶影，提示同部位已存在重症级别致命性病灶,全麻下坏死及结晶清除手术或介入引流 + 术前强化抗感染与器官功能支持,1
5010001,50,5001,0,轻度颈椎源石结晶性劳损,0.34,0.03,颈部外观基本正常，仅久坐后轻度僵硬，难以肉眼察觉,这段时间低头办公久了颈后就会发紧发酸，活动一下能缓解，没有手麻，就是局部肌肉像被勒着一样,就觉得上半身一整片都紧巴巴的，分不清是肩还是背难受，只要坐久了整个人就很绷,颈椎 X 线正侧位,颈椎生理曲度轻度变直，局部小片状源石样致密影贴附椎体缘但未明显压迫神经根,颈椎生理曲度正常，椎体及椎间隙形态规则，未见异常致密影或骨赘形成,本次 X 线未能直接证实本次颈椎源石结晶性劳损，但在颈椎小关节附近仍可见轻度退变影像，提示同部位存在其他轻症级别劳损改变,本次 X 线未能直接证实本次颈椎源石结晶性劳损，却发现相邻节段有中度间隙变窄与骨赘，提示同部位合并中症级别压迫风险,本次 X 线未能直接证实本次颈椎源石结晶性劳损，却提示颈椎局部结构异常已达重度变形，说明同部位合并重症级别不稳或明显压迫需警惕,门诊颈肩稳定肌群训练 + 非甾体止痛药短期口服 + 姿势矫正教育,0
5010002,50,5001,0,轻度颈椎旁肌筋膜紧张,0.33,0.028,颈肩条索样肌肉稍紧，压痛不明显，外观近似正常,近来一到傍晚脖子两侧就发酸，上下点头会牵扯到后枕部，但不影响睡觉，按一按会觉得有一点硬块,总感觉整个上半身被人拎着，脖子和肩到处都酸胀，说不清是哪一块更痛,颈肩触诊 + 关节活动度评估,颈旁肌筋膜轻度紧张，活动末期有轻微牵拉痛，但关节活动度基本保留,颈肩肌肉质地柔软，无明显压痛或活动受限，关节活动范围在正常年龄预期内,本次体格检查未能直接证实本次颈椎旁肌筋膜紧张，但在颈肩另一侧可触及轻度压痛条索，提示同部位仍存在其他轻症级别肌筋膜劳损,本次体格检查未能直接证实本次颈椎旁肌筋膜紧张，却发现局部已有中度活动受限，提示同部位合并中症级别关节功能障碍,本次体格检查未能直接证实本次颈椎旁肌筋膜紧张，却提示颈肩区域存在重度压痛与明显防御，说明同部位已合并重症级别的急性损伤或压迫,门诊热敷 + 轻度牵引理疗 + 低剂量肌松药按需使用,0
5010003,50,5001,0,轻度颈椎神经根刺激综合征,0.33,0.032,颈部外观无可见异常，偶尔改变体位时面色略显紧张,这段时间偶尔会从脖子往右臂窜一阵电麻感，多数是转头太猛或者咳嗽的时候触发，很快自己就缓过来,就觉得右边上肢老是莫名其妙“走电”，一会儿说是从脖子蹿下来的，一会儿又觉得是手自己在麻,颈椎 MRI,部分椎间孔轻度狭窄，可见小片源石结晶样影贴附神经根周围，提示轻度刺激但未形成明显压迫,椎间盘形态与信号基本正常，神经根走行清晰，无源石样异常影或明显狭窄,本次 MRI 未能直接证实本次颈椎神经根刺激综合征，但在临近节段仍可见轻度椎间盘突出，提示同部位存在其他轻症级别神经受累,本次 MRI 未能直接证实本次颈椎神经根刺激综合征，却发现椎间孔已有中度狭窄，提示同部位合并中症级别神经压迫,本次 MRI 未能直接证实本次颈椎神经根刺激综合征，却提示局部有重度狭窄和信号中断，说明同部位已合并重症级别神经根压迫,门诊颈托间断佩戴 + 抗炎镇痛药物 + 轻度神经滑动训练,0
5010004,50,5001,1,中度颈椎源石结晶性狭窄,0.5,0.065,颈部轻度前伸畸形，久站后可见颈肩肌明显紧绷，转头动作受限,近一两个月转头幅度明显变小，稍微把头向后仰就会从脖子往手臂放射酸麻，偶尔拿东西会突然无力,总说整条胳膊都废了，只要脖子一动就觉得从肩到手都是麻胀痛，具体是哪块先开始的不太清楚,颈椎 MRI + 神经传导速度检查,受累节段椎间孔中度狭窄，可见条索状源石结晶压迫神经根，传导速度下降提示中度神经功能受损,椎管及椎间孔通畅，未见异常占位或结晶性致密影，神经传导速度在正常范围,当前影像和电生理检查未能直接证实本次颈椎源石结晶性狭窄，但提示同一部位存在轻度椎间盘膨出，属于其他轻症级别压迫改变,当前影像和电生理检查未能直接证实本次颈椎源石结晶性狭窄，却发现相邻节段已有中度骨赘与源石结晶累及，提示同部位合并中症级别结构狭窄,当前影像和电生理检查未能直接证实本次颈椎源石结晶性狭窄，却提示颈髓受压信号异常明显，说明同部位已合并重症级别脊髓受压病变需重点排查,强化颈椎支具保护 + 口服及静脉镇痛抗炎方案 + 目标神经阻滞注射 + 短期住院监护,0
5010005,50,5001,1,中度颈髓源石病性压迫,0.5,0.07,颈部维持僵硬姿势，走路略显不稳，上肢偶有轻度不随意抖动,最近这段时间一低头走路就觉得脚下发飘，尤其是上下楼梯时容易踩空，手指做精细动作比如扣扣子也笨拙起来,总说整个人像被人从后面拽着往前走，腿有点不听使唤，手也总是使不上巧劲，说不清是颈还是腰出问题,颈椎 MRI + 运动诱发电位,颈髓前后径中度受压，可见带状源石结晶围绕椎体后缘，运动诱发电位波幅减低提示传导功能受损,颈髓形态及信号均匀，未见明显压迫或异常结晶影，电生理各项指标在正常范围内,本次 MRI 与诱发电位检查未能直接证实本次颈髓源石病性压迫，但显示颈髓局部存在轻度信号改变，提示同部位仍有其他轻症级别病变,本次 MRI 与诱发电位检查未能直接证实本次颈髓源石病性压迫，却发现颈髓长段中度受压，提示同部位已合并中症级别持续压迫,本次 MRI 与诱发电位检查未能直接证实本次颈髓源石病性压迫，却提示颈髓局限段重度变形和信号异常，说明同部位合并重症级别脊髓损伤需优先处理,颈托固定 + 住院严密神经功能监测 + 递增剂量感染抑制剂 22 号 + 预评估减压手术指征,0
5010006,50,5001,2,重度颈椎源石病性脊髓危象,1.0,0.11,颈部僵直明显，头颅轻微前伸，步态剪刀样，双手持续抓握桌沿以维持平衡,现在一站起来就觉得腿软踩不到地，走几步就快要摔倒，双手也总是抖得拿不稳东西，有时候还会突然失禁，整个后颈像被硬块卡住一样疼,只会反复说“脖子一下就断电了”“腿根本不听使唤”，手脚发麻发僵混在一起，说不清哪一边更严重,颈椎高分辨 MRI + 术中神经监测,颈髓受累节段可见大片融合源石结晶环绕形成明显压迫，脊髓信号弥漫异常，术中监测提示传导波形严重衰减,颈椎及颈髓结构完整，无结晶性占位或信号异常，术中监测未见传导阻断,本次高分辨 MRI 未能直接证实本次颈椎源石病性脊髓危象，但仍在邻近节段发现轻度髓压痕迹，提示同部位存在其他轻症级别压迫病变,本次高分辨 MRI 未能直接证实本次颈椎源石病性脊髓危象，却发现多个节段中度源石结晶堆积，提示同部位已合并中症级别弥漫性受压,本次高分辨 MRI 未能直接证实本次颈椎源石病性脊髓危象，却提示颈髓长段重度压迫和明显信号中断，说明同部位已合并重症级别不可逆损伤需立即手术,急诊颈椎减压 + 椎板部分切除 + 源石结晶清理 + 术中神经监测保护 + 术前后感染抑制剂 23 号冲击与维持,1
5020001,50,5002,0,轻度腰椎源石结晶性劳损,0.34,0.03,腰部体表无红肿变形，久站后姿势略显僵硬，难以肉眼察觉,最近长时间站诊或搬东西后下腰部会发酸，早上起来时略微僵硬，稍微活动就好多了，没有放射到腿,就觉得整块腰都在“闹情绪”，有时候说是整条后背酸，有时候又觉得是屁股位置在累,腰椎 X 线正侧位,腰椎生理曲度轻度变直，椎体缘可见细小源石样致密影，提示轻度劳损相关改变,腰椎生理曲度与椎体排列正常，未见异常致密影或结构变形,本次 X 线未能直接证实本次腰椎源石结晶性劳损，但提示局部小关节已有轻度退变，属于同部位其他轻症级别劳损表现,本次 X 线未能直接证实本次腰椎源石结晶性劳损，却发现部分椎体已有中度骨赘形成，提示同部位合并中症级别退变压迫,本次 X 线未能直接证实本次腰椎源石结晶性劳损，却提示腰椎有重度楔形变与明显失稳迹象，说明同部位合并重症级别结构损害,腰背肌训练指导 + 热敷理疗 + 非甾体消炎镇痛药按需使用,0
5020002,50,5002,0,轻度腰椎小关节源石病性滑膜炎,0.33,0.028,腰部对称，触诊仅在深压时有轻度不适，无局部红肿,这段时间后腰在左右扭转时会有轻微卡顿感，某个点会有酸痛，平躺休息后基本能缓解,总形容成“整块腰都像被塞了石子”，说不清到底是左边还是右边，只觉得扭动一下就会有不舒服的点跳出来,腰椎 CT,部分小关节间隙轻度变窄，可见点状源石结晶附着于关节缘，周围软组织略有肿胀,小关节结构与间隙对称清晰，未见结晶样致密影或滑膜肿胀表现,本次 CT 未能直接证实本次腰椎小关节源石病性滑膜炎，但在相邻关节可见轻度退变，提示同部位存在其他轻症级别炎性改变,本次 CT 未能直接证实本次腰椎小关节源石病性滑膜炎，却发现某些节段已有中度关节间隙受侵，提示同部位合并中症级别结晶性关节病,本次 CT 未能直接证实本次腰椎小关节源石病性滑膜炎，却提示关节面出现重度破坏与不规则致密影，说明同部位合并重症级别关节崩解,腰背肌松解理疗 + 局部外用消炎镇痛药膏 + 短疗程口服消炎药,0
5020003,50,5002,0,轻度腰椎源石病性神经根刺激,0.33,0.032,腰部外观正常，偶于体检时改变体位面露短暂皱眉,这段时间偶尔从腰部往一条腿窜一下电麻，多是在弯腰拿东西或打喷嚏的时候，躺平后能很快缓解,总说是“腿老是在走电”，一下说是髋关节不舒服，一下又说是小腿在抽，指不出从哪开始,腰椎 MRI,个别椎间孔轻度狭窄，近孔外可见小片源石结晶靠近神经根，信号显示轻度刺激但无明显压迫,腰椎椎间盘和椎间孔形态信号正常，神经根走行顺畅，未见异常结晶或狭窄,本次 MRI 未能直接证实本次腰椎源石病性神经根刺激，但在邻近节段可见轻度椎间盘膨出，提示同部位存在其他轻症级别神经受累,本次 MRI 未能直接证实本次腰椎源石病性神经根刺激，却发现某节段已有中度突出压迫硬膜囊，提示同部位合并中症级别神经压迫,本次 MRI 未能直接证实本次腰椎源石病性神经根刺激，却提示局部出现重度突出和明显神经根变形，说明同部位已合并重症级别压迫病变,门诊腰椎牵引 + 神经营养药物 + 感染抑制剂 21 号低剂量联合应用,0
5020004,50,5002,1,中度腰椎源石结晶性椎管狭窄,0.5,0.065,腰椎轻度前屈姿势，站立行走后腰部肌肉紧绷，步态略显小碎步,近几个月走路时间一长就觉得双腿发沉发麻，必须弯腰或坐下休息一会儿才缓过来，平躺后症状明显减轻,总说“一直走着走着腿就突然不听使唤”，形容从腰往下整条都在麻，具体是哪一段开始不好受讲不清楚,腰椎 MRI + 走台试验,腰椎椎管多节段中度狭窄，可见环形源石结晶沿椎体后缘堆积，走台试验中出现典型跛行距离缩短,椎管横径正常，无明显占位或骨性狭窄，走台试验中未诱发典型跛行症状,本次 MRI 与走台试验未能直接证实本次腰椎源石结晶性椎管狭窄，但提示单节段仍有轻度椎管变窄，属于同部位轻症级别改变,本次 MRI 与走台试验未能直接证实本次腰椎源石结晶性椎管狭窄，却发现部分节段已有中度韧带肥厚与结晶堆积，提示同部位合并中症级别狭窄病变,本次 MRI 与走台试验未能直接证实本次腰椎源石结晶性椎管狭窄，却提示腰椎长段严重狭窄和神经束受压，说明同部位已合并重症级别脊髓马尾受损,腰椎支具保护 + 有氧步行康复训练 + 口服镇痛药与感染抑制剂 22 号联合 + 住院观察评估手术时机,0
5020005,50,5002,1,中度腰椎源石病性椎间盘突出,0.5,0.07,腰部轻度偏侧，弯腰受限，直腿抬高试验诱发明显不适,这段时间右侧腰部持续钝痛，并向臀部和大腿后侧放射，有时咳嗽打喷嚏都会牵扯痛，久坐后站起来特别困难,总说“右半边整条腿从屁股到脚都在拉扯”，一会儿觉得像抽筋，一会儿又说像被石块压着分不清是骨头还是肌肉在痛,腰椎 MRI + 直腿抬高试验,对应节段椎间盘向右后方中度突出，突出缘可见不规则源石结晶嵌入硬膜囊边缘，直腿抬高试验阳性,椎间盘高度和信号保存良好，未见突出或源石样异常影，直腿抬高试验阴性,当前检查未能直接证实本次腰椎源石病性椎间盘突出，但提示同一节段仅有轻度膨出，属于其他轻症级别椎间盘改变,当前检查未能直接证实本次腰椎源石病性椎间盘突出，却发现相邻节段存在中度突出压迫神经根，提示同部位合并中症级别压迫病变,当前检查未能直接证实本次腰椎源石病性椎间盘突出，却显示椎间盘破裂并合并游离碎片压迫，说明同部位已有重症级别神经损伤风险,短期卧床减负 + 物理牵引 + 口服及静脉镇痛联合感染抑制剂 22 号 + 腰背肌功能训练,0
